other,type,source
comp_HexNAc2Hex13dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc2Hex8dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc2Hex9dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex3dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex4dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex5dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex5dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex6dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex6dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex7dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex7dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc3Hex9dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex1dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex3dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex4dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex4dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex4dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex4dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex4dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex4dHex4NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex5dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex5dHex2NeuAc0NeuGc1Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex5dHex3NeuAc3NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex6dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex6dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex6dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex6dHex3NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex6dHex4NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex7dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex8dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc4Hex9dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex3dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex3dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex4dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex4dHex4NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex4dHex4NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex5dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex5dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex5dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex5dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex6dHex3NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex6dHex4NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex7dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex7dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex8dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc5Hex9dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex3dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex3dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex4dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex4dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex4dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex4dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex4dHex5NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex5dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex5dHex0NeuAc2NeuGc1Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex5dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex5dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex6dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex6dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex6dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex6dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex7dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc6Hex8dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex10dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex10dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex10dHex4NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex3dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex4dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex4dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex5dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex5dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex5dHex4NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex6dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex6dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex6dHex6NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex7dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex7dHex3NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex8dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex8dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex8dHex4NeuAc5NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex8dHex6NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc7Hex9dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc8Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc8Hex4dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc8Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc8Hex6dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc8Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc8Hex8dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc9Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc9Hex7dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc9Hex7dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
matrixdb:GAG_1,xref,MatrixDB
matrixdb:GAG_2,xref,MatrixDB
matrixdb:GAG_3,xref,MatrixDB
matrixdb:GAG_6,xref,MatrixDB
matrixdb:GAG_9,xref,MatrixDB
